dataset,lang,mode,target_repo,target_config,target_split,pairs,source_repo,source_config,source_split,note
X-RiSAWOZ,ru,source_compare,DeepPavlov/XRISAWOZRu,default,test,text->text; history->history,DeepPavlov/XRISAWOZ,en,test,
X-RiSAWOZ,ru,source_compare,DeepPavlov/XRISAWOZRu,default,valid,text->text; history->history,DeepPavlov/XRISAWOZ,en,valid,
X-RiSAWOZ,ru,source_compare,DeepPavlov/XRISAWOZRu,default,train,text->text; history->history,DeepPavlov/XRISAWOZ,en,train,
X-RiSAWOZ,es,missing,DeepPavlov/XRISAWOZ_es,,,,,,,public Hugging Face repo is empty in Dataset Viewer (EmptyDatasetError); no uploaded translation data to audit
X-RiSAWOZ,fr,source_compare,DeepPavlov/XRISAWOZ_fr,default,test,text->text; history->history,DeepPavlov/XRISAWOZ,en,test,
X-RiSAWOZ,fr,source_compare,DeepPavlov/XRISAWOZ_fr,default,valid,text->text; history->history,DeepPavlov/XRISAWOZ,en,valid,
X-RiSAWOZ,fr,source_compare,DeepPavlov/XRISAWOZ_fr,default,train,text->text; history->history,DeepPavlov/XRISAWOZ,en,train,
DailyDialog,ru,self_suffix,DeepPavlov/ru_daily_dialog,default,train,dialog->ru_dialog,DeepPavlov/ru_daily_dialog,default,train,
DailyDialog,ru,self_suffix,DeepPavlov/ru_daily_dialog,default,validation,dialog->ru_dialog,DeepPavlov/ru_daily_dialog,default,validation,
DailyDialog,ru,self_suffix,DeepPavlov/ru_daily_dialog,default,test,dialog->ru_dialog,DeepPavlov/ru_daily_dialog,default,test,
DailyDialog,es,self_suffix,DeepPavlov/daily_dialog_es,default,train,dialog->dialog_es,DeepPavlov/daily_dialog_es,default,train,
DailyDialog,es,self_suffix,DeepPavlov/daily_dialog_es,default,test,dialog->dialog_es,DeepPavlov/daily_dialog_es,default,test,
DailyDialog,es,self_suffix,DeepPavlov/daily_dialog_es,default,validation,dialog->dialog_es,DeepPavlov/daily_dialog_es,default,validation,
DailyDialog,fr,source_compare,DeepPavlov/daily_dialog_fr,default,train,dialog->dialog,DeepPavlov/daily_dialog,default,train,
DailyDialog,fr,source_compare,DeepPavlov/daily_dialog_fr,default,validation,dialog->dialog,DeepPavlov/daily_dialog,default,validation,
DailyDialog,fr,source_compare,DeepPavlov/daily_dialog_fr,default,test,dialog->dialog,DeepPavlov/daily_dialog,default,test,
StatCan,ru,self_suffix,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,corpus,russian,title->title_ru; doc->doc_ru,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,corpus,russian,
StatCan,ru,self_suffix,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,train,query->query_ru,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,train,
StatCan,ru,self_suffix,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,dev,query->query_ru,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,dev,
StatCan,ru,self_suffix,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,test,query->query_ru,DeepPavlov/statcan-dialogue-dataset-retrieval-ru,queries_russian,test,
StatCan,es,missing,DeepPavlov/statcan_dialog_es,,,,,,,public Hugging Face repo is empty in Dataset Viewer (EmptyDatasetError); no uploaded translation data to audit
StatCan,fr,source_compare,DeepPavlov/statcan_dialog_fr,corpus,corpus,title->title; doc->doc,McGill-NLP/statcan-dialogue-dataset-retrieval,corpus,english,
StatCan,fr,source_compare,DeepPavlov/statcan_dialog_fr,queries,train,query->query,McGill-NLP/statcan-dialogue-dataset-retrieval,queries_english,train,
StatCan,fr,source_compare,DeepPavlov/statcan_dialog_fr,queries,dev,query->query,McGill-NLP/statcan-dialogue-dataset-retrieval,queries_english,dev,
StatCan,fr,source_compare,DeepPavlov/statcan_dialog_fr,queries,test,query->query,McGill-NLP/statcan-dialogue-dataset-retrieval,queries_english,test,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,validation,query->query_ru,DeepPavlov/WebLINX-ru,default,validation,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,test_iid,query->query_ru,DeepPavlov/WebLINX-ru,default,test_iid,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,test_cat,query->query_ru,DeepPavlov/WebLINX-ru,default,test_cat,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,test_geo,query->query_ru,DeepPavlov/WebLINX-ru,default,test_geo,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,test_vis,query->query_ru,DeepPavlov/WebLINX-ru,default,test_vis,
WebLINX,ru,self_suffix,DeepPavlov/WebLINX-ru,default,test_web,query->query_ru,DeepPavlov/WebLINX-ru,default,test_web,
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,validation,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,test_iid,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,test_cat,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,test_geo,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,test_vis,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,corpus,test_web,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,qrels,,,,,,no auditable text columns inferred
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,validation,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,test_iid,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,test_cat,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,test_geo,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,test_vis,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,queries,test_web,,,,,support retrieval export copied from original; translated query_ru is audited in default config
WebLINX,ru,no_text_pairs,DeepPavlov/WebLINX-ru,top_ranked,,,,,,no auditable text columns inferred
WebLINX,es,missing,DeepPavlov/WebLINX_es,,,,,,,public Hugging Face repo is empty in Dataset Viewer (EmptyDatasetError); no uploaded translation data to audit
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,validation,query->query,McGill-NLP/WebLINX,reranking,validation,
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,test_iid,query->query,McGill-NLP/WebLINX,reranking,test_iid,
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,test_cat,query->query,McGill-NLP/WebLINX,reranking,test_cat,
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,test_geo,query->query,McGill-NLP/WebLINX,reranking,test_geo,
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,test_vis,query->query,McGill-NLP/WebLINX,reranking,test_vis,
WebLINX,fr,source_compare,DeepPavlov/weblinx_fr,default,test_web,query->query,McGill-NLP/WebLINX,reranking,test_web,
FaithDial,ru,self_suffix,DeepPavlov/FaithDial-ru,default,test,history->history_ru; knowledge->knowledge_ru,DeepPavlov/FaithDial-ru,default,test,
